"TOA5","BIOLOGGER","BIOLOGGER","0","BIOLOGGER","BIOLOGGER","0","Tags"
"TIMESTAMP","RECORD","Tag"
"TS","RN",""
"","","Smp"
"2018-09-13 17:03:29",141,"TAG: 01 04 07/02/2018 17:58:45.260 3DD.003BF926C4"
"2018-09-13 17:03:30",142,"TAG: 01 04 07/02/2018 17:59:45.980 3DD.003BF926C4"
"2018-09-13 17:03:30",143,"TAG: 01 04 07/02/2018 18:00:45.190 3DD.003BF926C4"
"2018-09-13 17:03:30",144,"TAG: 01 04 07/02/2018 18:01:45.370 3DD.003BF926C4"
"2018-09-13 17:03:30",145,"TAG: 01 04 07/02/2018 18:02:45.810 3DD.003BF926C4"
"2018-09-13 17:03:30",146,"TAG: 01 04 07/02/2018 18:03:45.380 3DD.003BF926C4"
"2018-09-13 17:03:30",147,"TAG: 01 04 07/02/2018 18:04:45.320 3DD.003BF926C4"
"2018-09-13 17:03:30",148,"TAG: 01 04 07/02/2018 18:05:45.720 3DD.003BF926C4"
"2018-09-13 17:03:30",149,"TAG: 01 04 07/02/2018 18:06:45.330 3DD.003BF926C4"
"2018-09-13 17:03:30",150,"TAG: 01 04 07/02/2018 18:07:45.290 3DD.003BF926C4"
"2018-09-13 17:03:30",151,"TAG: 01 04 07/02/2018 18:08:45.100 3DD.003BF926C4"
"2018-09-13 17:03:30",152,"TAG: 01 04 07/02/2018 18:09:45.180 3DD.003BF926C4"
"2018-09-13 17:03:30",153,"TAG: 01 04 07/02/2018 18:10:45.220 3DD.003BF926C4"
"2018-09-13 17:03:30",154,"TAG: 01 04 07/02/2018 18:11:45.160 3DD.003BF926C4"
"2018-09-13 17:03:30",155,"TAG: 01 04 07/02/2018 18:12:45.140 3DD.003BF926C4"
"2018-09-13 17:03:30",156,"TAG: 01 04 07/02/2018 18:13:45.200 3DD.003BF926C4"
"2018-09-13 17:03:30",157,"TAG: 01 04 07/02/2018 18:14:45.100 3DD.003BF926C4"
"2018-09-13 17:03:30",158,"TAG: 01 04 07/02/2018 18:15:45.300 3DD.003BF926C4"
"2018-09-13 17:03:30",159,"TAG: 01 04 07/02/2018 18:16:45.250 3DD.003BF926C4"
"2018-09-13 17:03:31",160,"TAG: 01 04 07/02/2018 18:17:45.110 3DD.003BF926C4"
"2018-09-13 17:03:31",161,"TAG: 01 04 07/02/2018 18:18:45.070 3DD.003BF926C4"
"2018-09-13 17:03:31",162,"TAG: 01 04 07/02/2018 18:19:45.240 3DD.003BF926C4"
"2018-09-13 17:03:31",163,"TAG: 01 04 07/02/2018 18:20:45.040 3DD.003BF926C4"
"2018-09-13 17:03:31",164,"TAG: 01 04 07/02/2018 18:21:45.170 3DD.003BF926C4"
"2018-09-13 17:03:31",165,"TAG: 01 04 07/02/2018 18:22:45.160 3DD.003BF926C4"
"2018-09-13 17:03:31",166,"TAG: 01 04 07/02/2018 18:23:45.280 3DD.003BF926C4"
"2018-09-13 17:03:31",167,"TAG: 01 04 07/02/2018 18:24:45.050 3DD.003BF926C4"
"2018-09-13 17:03:31",168,"TAG: 01 04 07/02/2018 18:25:45.150 3DD.003BF926C4"
"2018-09-13 17:03:31",169,"TAG: 01 04 07/02/2018 18:26:45.210 3DD.003BF926C4"
"2018-09-13 17:03:31",170,"TAG: 01 04 07/02/2018 18:27:45.050 3DD.003BF926C4"
"2018-09-13 17:03:31",171,"TAG: 01 04 07/02/2018 18:28:45.700 3DD.003BF926C4"
"2018-09-13 17:03:31",172,"TAG: 01 04 07/02/2018 18:29:45.330 3DD.003BF926C4"
"2018-09-13 17:03:31",173,"TAG: 01 04 07/02/2018 18:30:45.330 3DD.003BF926C4"
"2018-09-13 17:03:31",174,"TAG: 01 04 07/02/2018 18:31:45.070 3DD.003BF926C4"
"2018-09-13 17:03:31",175,"TAG: 01 04 07/02/2018 18:32:45.360 3DD.003BF926C4"
"2018-09-13 17:03:31",176,"TAG: 01 04 07/02/2018 18:33:45.050 3DD.003BF926C4"
"2018-09-13 17:03:31",177,"TAG: 01 04 07/02/2018 18:34:45.120 3DD.003BF926C4"
"2018-09-13 17:03:31",178,"TAG: 01 04 07/02/2018 18:35:45.370 3DD.003BF926C4"
"2018-09-13 17:03:31",179,"TAG: 01 04 07/02/2018 18:36:45.020 3DD.003BF926C4"
"2018-09-13 17:03:31",180,"TAG: 01 04 07/02/2018 18:37:45.180 3DD.003BF926C4"
"2018-09-13 17:03:31",181,"TAG: 01 04 07/02/2018 18:38:45.050 3DD.003BF926C4"
"2018-09-13 17:03:31",182,"TAG: 01 04 07/02/2018 18:39:45.120 3DD.003BF926C4"
"2018-09-13 17:03:31",183,"TAG: 01 04 07/02/2018 18:40:45.210 3DD.003BF926C4"
"2018-09-13 17:03:31",184,"TAG: 01 04 07/02/2018 18:41:45.220 3DD.003BF926C4"
"2018-09-13 17:03:31",185,"TAG: 01 04 07/02/2018 18:42:45.300 3DD.003BF926C4"
"2018-09-13 17:03:31",186,"TAG: 01 04 07/02/2018 18:43:45.230 3DD.003BF926C4"
"2018-09-13 17:03:31",187,"TAG: 01 04 07/02/2018 18:44:45.390 3DD.003BF926C4"
"2018-09-13 17:03:31",188,"TAG: 01 04 07/02/2018 18:45:45.080 3DD.003BF926C4"
"2018-09-13 17:03:31",189,"TAG: 01 04 07/02/2018 18:46:45.680 3DD.003BF926C4"
"2018-09-13 17:03:31",190,"TAG: 01 04 07/02/2018 18:47:45.110 3DD.003BF926C4"
"2018-09-13 17:03:31",191,"TAG: 01 04 07/02/2018 18:48:45.040 3DD.003BF926C4"
"2018-09-13 17:03:31",192,"TAG: 01 04 07/02/2018 18:49:45.150 3DD.003BF926C4"
"2018-09-13 17:03:31",193,"TAG: 01 04 07/02/2018 18:50:45.110 3DD.003BF926C4"
"2018-09-13 17:03:31",194,"TAG: 01 04 07/02/2018 18:51:45.160 3DD.003BF926C4"
"2018-09-13 17:03:31",195,"TAG: 01 04 07/02/2018 18:52:45.630 3DD.003BF926C4"
"2018-09-13 17:03:31",196,"TAG: 01 04 07/02/2018 18:53:45.340 3DD.003BF926C4"
"2018-09-13 17:03:31",197,"TAG: 01 04 07/02/2018 18:54:45.420 3DD.003BF926C4"
"2018-09-13 17:03:31",198,"TAG: 01 04 07/02/2018 18:55:45.390 3DD.003BF926C4"
"2018-09-13 17:03:31",199,"TAG: 01 04 07/02/2018 18:56:45.330 3DD.003BF926C4"
"2018-09-13 17:03:31",200,"TAG: 01 04 07/02/2018 18:57:45.280 3DD.003BF926C4"
"2018-09-13 17:03:32",201,"TAG: 01 01 07/02/2018 18:58:39.450 3E7.0000001D01"
"2018-09-13 17:03:32",202,"TAG: 01 02 07/02/2018 18:58:39.540 3E7.0000001D02"
"2018-09-13 17:03:32",203,"TAG: 01 03 07/02/2018 18:58:39.600 3E7.0000001D03"
"2018-09-13 17:03:32",204,"TAG: 01 04 07/02/2018 18:58:45.670 3DD.003BF926C4"
"2018-09-13 17:03:32",205,"TAG: 01 04 07/02/2018 18:59:45.290 3DD.003BF926C4"
"2018-09-13 17:03:32",206,"TAG: 01 04 07/02/2018 19:00:45.300 3DD.003BF926C4"
"2018-09-13 17:03:32",207,"TAG: 01 04 07/02/2018 19:01:46.070 3DD.003BF926C4"
"2018-09-13 17:03:32",208,"TAG: 01 04 07/02/2018 19:02:46.230 3DD.003BF926C4"
"2018-09-13 17:03:32",209,"TAG: 01 04 07/02/2018 19:03:46.090 3DD.003BF926C4"
"2018-09-13 17:03:32",210,"TAG: 01 04 07/02/2018 19:04:46.370 3DD.003BF926C4"
"2018-09-13 17:03:32",211,"TAG: 01 04 07/02/2018 19:05:46.370 3DD.003BF926C4"
"2018-09-13 17:03:32",212,"TAG: 01 04 07/02/2018 19:06:46.130 3DD.003BF926C4"
"2018-09-13 17:03:33",213,"TAG: 01 04 07/02/2018 19:07:46.050 3DD.003BF926C4"
"2018-09-13 17:03:33",214,"TAG: 01 04 07/02/2018 19:08:46.240 3DD.003BF926C4"
"2018-09-13 17:03:33",215,"TAG: 01 04 07/02/2018 19:09:46.210 3DD.003BF926C4"
"2018-09-13 17:03:33",216,"TAG: 01 04 07/02/2018 19:10:46.200 3DD.003BF926C4"
"2018-09-13 17:03:33",217,"TAG: 01 04 07/02/2018 19:11:46.420 3DD.003BF926C4"
"2018-09-13 17:03:33",218,"TAG: 01 04 07/02/2018 19:12:46.310 3DD.003BF926C4"
"2018-09-13 17:03:33",219,"TAG: 01 04 07/02/2018 19:13:46.100 3DD.003BF926C4"
"2018-09-13 17:03:33",220,"TAG: 01 04 07/02/2018 19:14:46.740 3DD.003BF926C4"
"2018-09-13 17:03:33",221,"TAG: 01 04 07/02/2018 19:15:46.530 3DD.003BF926C4"
"2018-09-13 17:03:33",222,"TAG: 01 04 07/02/2018 19:16:46.020 3DD.003BF926C4"
"2018-09-13 17:03:33",223,"TAG: 01 04 07/02/2018 19:17:46.420 3DD.003BF926C4"
"2018-09-13 17:03:33",224,"TAG: 01 04 07/02/2018 19:18:46.580 3DD.003BF926C4"
"2018-09-13 17:03:33",225,"TAG: 01 04 07/02/2018 19:19:46.040 3DD.003BF926C4"
"2018-09-13 17:03:33",226,"TAG: 01 04 07/02/2018 19:20:46.020 3DD.003BF926C4"
"2018-09-13 17:03:33",227,"TAG: 01 04 07/02/2018 19:21:46.320 3DD.003BF926C4"
